iter	RMSE
0	159729.5948
1	153348.6186
2	147320.9794
3	141513.5473
4	135963.3955
5	131003.846
6	126136.8571
7	121557.1358
8	117188.7674
9	113028.4531
10	109027.4069
11	105389.6183
12	101936.8454
13	98704.75047
14	95655.91877
15	92754.77367
16	90090.32196
17	87496.85834
18	85086.66224
19	82786.29895
20	80588.21921
21	78630.79811
22	76731.2029
23	74930.52342
24	73297.75483
25	71758.3413
26	70270.24417
27	68887.74778
28	67588.35446
29	66428.72746
30	65232.96988
31	64126.24279
32	63167.05684
33	62190.8125
34	61291.62775
35	60420.71639
36	59603.63644
37	58877.4026
38	58129.72364
39	57422.83447
40	56783.65697
41	56175.04936
42	55619.40674
43	55094.17748
44	54636.21214
45	54110.08476
46	53668.82551
47	53248.34978
48	52872.98336
49	52503.95883
50	52125.6718
51	51753.89785
52	51425.91272
53	51113.51353
54	50788.36719
55	50482.43168
56	50208.80808
57	49960.09717
58	49709.82755
59	49481.04778
60	49276.05564
61	49014.19739
62	48813.72496
63	48612.3322
64	48421.65625
65	48247.81875
66	48073.29083
67	47867.01263
68	47654.09497
69	47502.95906
70	47347.60242
71	47192.49926
72	47069.72942
73	46862.64927
74	46732.29933
75	46549.50378
76	46434.42881
77	46313.28468
78	46213.79235
79	46099.74726
80	45989.4783
81	45878.11369
82	45762.12447
83	45649.70696
84	45549.92472
85	45442.25833
86	45308.19766
87	45220.31959
88	45126.71728
89	45041.29267
90	44957.39798
91	44870.91029
92	44752.24833
93	44673.26713
94	44597.0799
95	44517.13293
96	44453.20261
97	44333.99978
98	44222.27559
99	44157.64694
100	44088.86904
101	43979.09555
102	43916.46267
103	43840.87443
104	43697.23515
105	43644.19108
106	43577.23336
107	43529.23171
108	43476.48012
109	43409.36784
110	43353.98431
111	43304.65928
112	43251.52083
113	43197.89954
114	43153.03583
115	43099.62382
116	43053.6139
117	43007.96015
118	42938.45876
119	42892.78866
120	42822.5952
121	42776.70715
122	42725.61646
123	42681.45016
124	42644.83691
125	42596.74615
126	42483.72121
127	42450.34301
128	42412.148
129	42380.40509
130	42354.23678
131	42308.39102
132	42274.47648
133	42243.42533
134	42204.66647
135	42088.36666
136	42019.43063
137	41946.98012
138	41849.04789
139	41814.21894
140	41781.5931
141	41753.77996
142	41701.93885
143	41673.47579
144	41641.40955
145	41616.61807
146	41533.01985
147	41510.46267
148	41448.42409
149	41418.1164
150	41377.44807
151	41345.64953
152	41321.43843
153	41269.629
154	41224.60263
155	41150.03282
156	41120.69142
157	41085.33993
